Layer,Median,5thPerc,95thPerc
0,0.166689613316,0.114652078738,0.202672106041
1,0.259264653414,0.171520922446,0.323668810727
2,0.279872621414,0.213648088827,0.333403280333
3,0.450862375471,0.345662390957,0.541698591184
4,0.5048915085,0.362844522461,0.611974672375
5,0.472942927842,0.356104061042,0.592047308552
6,0.434226570202,0.302578551435,0.565517261054
7,0.466851680315,0.329168249057,0.594800395215
8,0.488080228975,0.348240317246,0.620987262651
9,0.507568667849,0.358576932888,0.632010804793
10,0.470003295259,0.35350551698,0.579450159719
11,0.485502839179,0.356714285364,0.583423110199
12,0.506003693162,0.379192379745,0.631122537542
13,0.487475201704,0.359488905192,0.600475589955
14,0.490400656433,0.372552920114,0.602045728069
15,0.489326589463,0.371208271573,0.612056777383
16,0.454662727161,0.347908825707,0.584559987033
17,0.575454123646,0.436602776316,0.709535157625
18,0.555678154611,0.421358596529,0.690996305027
19,0.536983382338,0.381727023121,0.678125480303
20,0.564017177053,0.423218807707,0.714463426826
21,0.559537054924,0.410407872833,0.704425021474
22,0.542103367661,0.405528174012,0.6654851075
23,0.590505037445,0.428522351081,0.721667433651
24,0.557321911921,0.405058708552,0.710082909544
25,0.59459720745,0.408101296108,0.730621978682
26,0.573696132106,0.376138900142,0.736352469589
27,0.529513985686,0.323426700876,0.697010375065
28,0.542005984629,0.319202627055,0.728513367239
29,0.536900553605,0.337677423306,0.711658146934
30,0.49350471868,0.258757118478,0.711889647051
31,0.988115265561,0.00284559379575,0.999977607168
