Layer,Median,5thPerc,95thPerc
0,0.00262334942818,0.00133373141289,0.00506546199322
1,0.00598981976509,0.00340105593204,0.0108171880245
2,0.008340716362,0.00473201870918,0.0151889979839
3,0.0239103734493,0.0146743506193,0.0421363651752
4,0.0484831929207,0.026248216629,0.108901453018
5,0.0360622107983,0.0194442033768,0.0791953623295
6,0.0493339598179,0.0298748701811,0.111089846492
7,0.0502206385136,0.0283793449402,0.105582588911
8,0.0604967772961,0.0342284530401,0.124560946226
9,0.0607377588749,0.033013895154,0.126174578071
10,0.0595544278622,0.0335260897875,0.135030859709
11,0.0635037720203,0.0328914791346,0.131217473745
12,0.0728375315666,0.0398550748825,0.143439817429
13,0.0720226168633,0.0378421127796,0.138695472479
14,0.0782806575298,0.039563909173,0.148082941771
15,0.0711001157761,0.0359340697527,0.139344576001
16,0.0758779942989,0.0381961524487,0.155009508133
17,0.08950522542,0.047594717145,0.175752970576
18,0.123296350241,0.0639204800129,0.221869128942
19,0.127417623997,0.0721413165331,0.225458186865
20,0.141568809748,0.0801985889673,0.244329023361
21,0.15935048461,0.0823336333036,0.267072278261
22,0.179162710905,0.0983587414026,0.29349232614
23,0.233616530895,0.130668148398,0.360759285092
24,0.235550314188,0.125345405936,0.350462478399
25,0.30337458849,0.189680814743,0.418791174889
26,0.323895066977,0.20660571456,0.463453835249
27,0.350929915905,0.245048585534,0.491738322377
28,0.353035420179,0.218704453111,0.564923873544
29,0.395108908415,0.227041190863,0.566390134394
30,0.393208026886,0.291166517138,0.526431648433
31,0.994660493452,0.991447929433,0.998534367484
