Layer,Median,5thPerc,95thPerc
0,0.0076978802681,0.00467119514942,0.0105955600739
1,0.0162188410759,0.00870428085327,0.0248070418835
2,0.0228835642338,0.0134113460779,0.0368465900421
3,0.0621022880077,0.032126429677,0.105411636829
4,0.117087036371,0.0562166154385,0.237597304583
5,0.0817478597164,0.042570912838,0.160351532698
6,0.0872575938702,0.0456549167633,0.189765155315
7,0.0834164321423,0.0403942614794,0.171290141344
8,0.0900268554688,0.0477645576,0.187587255239
9,0.0943537652493,0.0474614083767,0.201085224748
10,0.0904717445374,0.0476728320122,0.192402079701
11,0.0901781916618,0.0480202674866,0.183629098535
12,0.0981257259846,0.054625582695,0.21435661912
13,0.0999055504799,0.0528096288443,0.190038201213
14,0.095760345459,0.0530493289232,0.181308913231
15,0.0917291939259,0.0505918771029,0.187541466951
16,0.0904891490936,0.0496198952198,0.184242001176
17,0.118662208319,0.0649805158377,0.242580264807
18,0.136137634516,0.0791613072157,0.256020510197
19,0.126900941133,0.0749908775091,0.256817510724
20,0.137488901615,0.080488473177,0.282547476888
21,0.152359038591,0.0876880228519,0.273192334175
22,0.148474574089,0.0910795122385,0.266488090158
23,0.184543520212,0.094927495718,0.316790768504
24,0.183371454477,0.106792727113,0.287740638852
25,0.21530598402,0.130173745751,0.349679479003
26,0.227537244558,0.112931454182,0.361955493689
27,0.226085007191,0.081667932868,0.38449087441
28,0.235934853554,0.0999288260937,0.383275407553
29,0.26628896594,0.132520294189,0.439557474852
30,0.229813188314,0.118303325772,0.369856572151
31,0.968412692659,0.00569417476654,0.999396365629
