Layer,Median,5thPerc,95thPerc
0,0.00613424181938,0.00350145697594,0.00863459706306
1,0.0116672515869,0.00612998902798,0.0192185014486
2,0.0140383541584,0.00791710615158,0.0240642368793
3,0.0333231091499,0.0168592661619,0.0628447711468
4,0.0621169507504,0.0270197868347,0.148987284303
5,0.0449733138084,0.0210635900497,0.109163558483
6,0.043954372406,0.0210834681988,0.127097809315
7,0.0391123592854,0.0176683247089,0.114446884394
8,0.0403491556644,0.0189906269312,0.11150457263
9,0.0408161580563,0.019580835104,0.124034893513
10,0.0391494333744,0.0191866189241,0.126248770952
11,0.0394894778728,0.0171898663044,0.113097515702
12,0.04336810112,0.0193455308676,0.124541857839
13,0.0401577651501,0.0192844063044,0.116928297281
14,0.0411241650581,0.0181034773588,0.112025502324
15,0.0379306077957,0.0181045651436,0.0984427303076
16,0.0356728732586,0.0152942299843,0.104334232211
17,0.0517057776451,0.023788651824,0.141999235749
18,0.0514259934425,0.0216879010201,0.152283582091
19,0.046181589365,0.0202215194702,0.138758152723
20,0.0480178296566,0.0188850432634,0.130052766204
21,0.0478648245335,0.0168650567532,0.148084995151
22,0.0415531396866,0.0164583712816,0.127463263273
23,0.0394453406334,0.016496938467,0.126941791177
24,0.0394348800182,0.0142987698317,0.124794599414
25,0.0330438911915,0.0120009601116,0.110658475757
26,0.033686876297,0.0104008823633,0.0979318469763
27,0.020385324955,0.00792039036751,0.0629716485739
28,0.0214039385319,0.00611132979393,0.0711616516113
29,0.0240154266357,0.00678666830063,0.0740613073111
30,0.0175175070763,0.00490233302116,0.0564464181662
31,1.66893005371e-06,0.0,0.0769638985395
