Layer,Median,5thPerc,95thPerc
0,0.000970333814621,0.000457555055618,0.00191653072834
1,0.00192826986313,0.000944277644157,0.00334732234478
2,0.00236997008324,0.00113904476166,0.00456825196743
3,0.00612214207649,0.00279998779297,0.0125511646271
4,0.0117200613022,0.00503458976746,0.0322035014629
5,0.00832432508469,0.00371426045895,0.0212207704782
6,0.00783178210258,0.00353299379349,0.0238696753979
7,0.00710064172745,0.0030374288559,0.0213237971067
8,0.00789576768875,0.00344455242157,0.0219311088324
9,0.00814968347549,0.00343640446663,0.0248094856739
10,0.00754883885384,0.00310450196266,0.0252147734165
11,0.00742691755295,0.00321194529533,0.0224732339382
12,0.00825646519661,0.00351890027523,0.0238488644361
13,0.00775790214539,0.00324046313763,0.0241341948509
14,0.00756245851517,0.00312099456787,0.0221575319767
15,0.00695616006851,0.00297214388847,0.0195750594139
16,0.00662267208099,0.00265965461731,0.0224063128233
17,0.00980803370476,0.00411072969437,0.0310528218746
18,0.0083684027195,0.00345550179482,0.0305262833834
19,0.00774452090263,0.00303730070591,0.0255519986153
20,0.00781357288361,0.00318072736263,0.026110008359
21,0.00759732723236,0.0029226154089,0.0254489809275
22,0.00674951076508,0.00294538140297,0.0260085463524
23,0.00674015283585,0.00273180902004,0.0227258294821
24,0.00620007514954,0.00239248871803,0.0277073144913
25,0.00501948595047,0.00210708081722,0.0199425548315
26,0.00456485152245,0.00173772275448,0.0198004037142
27,0.00340351462364,0.00147879123688,0.0110019296408
28,0.00333899259567,0.00108471512794,0.0161404192448
29,0.00353991985321,0.00115177631378,0.0123557597399
30,0.00244945287704,0.00110609829426,0.00950916111469
31,5.96046447754e-08,-1.19209289551e-07,0.00333240926266
