Layer,Median,5thPerc,95thPerc
0,0.00209000706673,0.00104975700378,0.00391892194748
1,0.00408273935318,0.00230976641178,0.00783711075783
2,0.00503048300743,0.00284317135811,0.00959231853485
3,0.0128739178181,0.00735707581043,0.0253742396832
4,0.0250645577908,0.0117047667503,0.0605520755053
5,0.0177949368954,0.00901972055435,0.0424683958292
6,0.0163874328136,0.00828048586845,0.0474537432194
7,0.0143505036831,0.00683666467667,0.0420548915863
8,0.0160263776779,0.00732972919941,0.0455739021301
9,0.0170029699802,0.00812841057777,0.0510941147804
10,0.0148148536682,0.00709037780762,0.0508203953505
11,0.0146050155163,0.00760789811611,0.0459013134241
12,0.0159195363522,0.00833464860916,0.0458353698254
13,0.0153979361057,0.00746613144875,0.0466748386621
14,0.0149573087692,0.00728488266468,0.0415700286627
15,0.0145925879478,0.0072679489851,0.037697198987
16,0.0134386718273,0.00629160404205,0.0438878923655
17,0.0195583701134,0.00971123278141,0.0554140359163
18,0.0175899267197,0.00832898020744,0.0688302367926
19,0.0153269767761,0.00713931322098,0.0570881783962
20,0.0165260732174,0.00736791491508,0.0571239948273
21,0.0159217119217,0.00748608708382,0.059551525116
22,0.0143999159336,0.00714639723301,0.0506314367056
23,0.0138325691223,0.00652352273464,0.0478709489107
24,0.0132302939892,0.0059647589922,0.0545733094215
25,0.0124090909958,0.0054485887289,0.0446330994368
26,0.0103516578674,0.00494799017906,0.0454987615347
27,0.00746691226959,0.00356750488281,0.0231580883265
28,0.00805652141571,0.00286399722099,0.0288999199867
29,0.00754728913307,0.00362884402275,0.0277114838362
30,0.00542896986008,0.00291802883148,0.0234828293324
31,2.08616256714e-07,-1.19209289551e-07,0.00761805772781
