Layer,Median,5thPerc,95thPerc
0,0.0587776836763,0.0230578789264,0.107684528177
1,0.0966963280606,0.0416621315741,0.162451293139
2,0.119890497682,0.0584324927614,0.188745410087
3,0.249829103622,0.186020111086,0.319995723553
4,0.285339025061,0.223316132641,0.360572975086
5,0.159670134868,0.119993136206,0.197516924371
6,0.139800545984,0.103710362499,0.17571767395
7,0.148936066817,0.122239558689,0.183616134784
8,0.16270687188,0.125355048998,0.209370664874
9,0.159154992883,0.120398361832,0.199560924088
10,0.159742671953,0.126704114199,0.194481660716
11,0.156932323073,0.120560475572,0.195647779841
12,0.167749058133,0.131209260377,0.210560741086
13,0.159755970403,0.126802351897,0.20652713963
14,0.160355700747,0.12595795709,0.199561839895
15,0.163482610899,0.127333107972,0.202644686912
16,0.145772580385,0.109853086525,0.178954960947
17,0.203928715369,0.155091629863,0.246453864345
18,0.170058669845,0.124219028431,0.211444063988
19,0.16540402011,0.123793191091,0.209178320532
20,0.178430634874,0.140862470051,0.233900261999
21,0.190540578887,0.149837736424,0.248071058475
22,0.19585638392,0.146815762047,0.268471203988
23,0.233209102891,0.176461728769,0.353480358319
24,0.220021974922,0.159660535009,0.318801287614
25,0.273539196121,0.183376074306,0.414613859723
26,0.277775885232,0.181932179911,0.423385806592
27,0.292612643519,0.195901598831,0.451681915138
28,0.29721130876,0.186759905349,0.521381990483
29,0.308374310081,0.195141885564,0.511184249271
30,0.318928197491,0.204256180318,0.472516723049
31,0.993286479391,0.987611635819,0.994411883158
