Layer,Median,5thPerc,95thPerc
0,0.0571557174372,0.0233208199784,0.103185627071
1,0.0929955307232,0.0423854269865,0.152742126323
2,0.11529345286,0.0566829382851,0.183713594256
3,0.240685502658,0.152815589021,0.31574873116
4,0.278269192149,0.187300578636,0.35592522808
5,0.145001158625,0.0841507781243,0.191370897614
6,0.129393642095,0.0794014018259,0.179840776814
7,0.138445297062,0.0888985052771,0.18524085838
8,0.149013744771,0.0946206928652,0.201619759604
9,0.140660426666,0.0868700216363,0.198371318576
10,0.141423928893,0.09549479814,0.188337754149
11,0.140040078469,0.0939334054552,0.191560615937
12,0.1468458375,0.100287899939,0.199745727068
13,0.140492153347,0.0928621260355,0.190338839802
14,0.13789585137,0.091041021098,0.188617537406
15,0.141909045125,0.0987665767768,0.192288176312
16,0.121499902637,0.0840623959932,0.164990000319
17,0.172681391166,0.118326408167,0.233079602876
18,0.127812669584,0.0769092082839,0.186531046163
19,0.121765952983,0.076363811636,0.177367813545
20,0.124692296886,0.0787170027089,0.183985145496
21,0.127069806101,0.0794110215151,0.188489596387
22,0.120934877943,0.0753514741394,0.18288383126
23,0.124674073448,0.0735674380319,0.202994773831
24,0.112576816927,0.0665827550687,0.185249843753
25,0.10788841776,0.0603848522865,0.18683460172
26,0.0979401538985,0.0488986425785,0.178191987377
27,0.0758171219361,0.0362661907339,0.153560957541
28,0.0802278380488,0.0372932417819,0.165988958564
29,0.075259758105,0.0310668741808,0.180237664597
30,0.0571491676483,0.0239852067105,0.135511152815
31,5.92701466712e-05,1.4875350951e-11,0.402275540839
